node_id,lat,lon,etiqueta,rol,enlace,ncu,gw,esclavo
TCU_SUNNER_ID_001,37.374238,14.884208,TK0108,TCU,radio,3,3,1
TCU_SUNNER_ID_002,37.374238,14.884327,TK0109,TCU,radio,3,3,2
TCU_SUNNER_ID_003,37.374238,14.884445,TK0110,TCU,radio,3,3,3
TCU_SUNNER_ID_004,37.374238,14.884563,TK0111,TCU,radio,3,3,4
TCU_SUNNER_ID_005,37.374238,14.884682,TK0112,TCU,radio,3,3,5
TCU_SUNNER_ID_006,37.373585,14.883972,TK0113,TCU,radio,3,3,6
TCU_SUNNER_ID_007,37.373585,14.884209,TK0114,TCU,radio,3,3,7
TCU_SUNNER_ID_008,37.373585,14.884328,TK0115,TCU,radio,3,3,8
TCU_SUNNER_ID_009,37.373585,14.884446,TK0116,TCU,radio,3,3,9
TCU_SUNNER_ID_010,37.373585,14.884564,TK0117,TCU,radio,3,3,10
TCU_SUNNER_ID_011,37.373585,14.884683,TK0118,TCU,radio,3,3,11
TCU_SUNNER_ID_012,37.372307,14.883382,TK0119,TCU,radio,3,3,12
TCU_SUNNER_ID_013,37.372307,14.883501,TK0120,TCU,radio,3,3,13
TCU_SUNNER_ID_014,37.372307,14.883619,TK0121,TCU,radio,3,3,14
TCU_SUNNER_ID_015,37.372308,14.883737,TK0122,TCU,radio,3,3,15
TCU_SUNNER_ID_016,37.372308,14.883856,TK0123,TCU,radio,3,3,16
TCU_SUNNER_ID_017,37.372308,14.883974,TK0124,TCU,radio,3,3,17
TCU_SUNNER_ID_018,37.372308,14.884092,TK0125,TCU,radio,3,3,18
TCU_SUNNER_ID_019,37.372308,14.884211,TK0126,TCU,radio,3,3,19
TCU_SUNNER_ID_020,37.372308,14.884329,TK0127,TCU,radio,3,3,20
TCU_SUNNER_ID_021,37.372308,14.884448,TK0128,TCU,radio,3,3,21
TCU_SUNNER_ID_022,37.372308,14.884566,TK0129,TCU,radio,3,3,22
TCU_SUNNER_ID_023,37.372308,14.884684,TK0130,TCU,radio,3,3,23
TCU_SUNNER_ID_024,37.371654,14.883265,TK0131,TCU,radio,3,3,24
TCU_SUNNER_ID_025,37.371654,14.883383,TK0132,TCU,radio,3,3,25
TCU_SUNNER_ID_026,37.371655,14.883502,TK0133,TCU,radio,3,3,26
TCU_SUNNER_ID_027,37.371655,14.88362,TK0134,TCU,radio,3,3,27
TCU_SUNNER_ID_028,37.371655,14.883738,TK0135,TCU,radio,3,3,28
TCU_SUNNER_ID_029,37.371655,14.883857,TK0136,TCU,radio,3,3,29
TCU_SUNNER_ID_030,37.371655,14.883975,TK0137,TCU,radio,3,3,30
TCU_SUNNER_ID_031,37.371655,14.884093,TK0138,TCU,radio,3,3,31
TCU_SUNNER_ID_032,37.371655,14.884212,TK0139,TCU,radio,3,3,32
TCU_SUNNER_ID_033,37.371655,14.88433,TK0140,TCU,radio,3,3,33
TCU_SUNNER_ID_034,37.371656,14.884449,TK0141,TCU,radio,3,3,34
TCU_SUNNER_ID_035,37.371656,14.884567,TK0142,TCU,radio,3,3,35
TCU_SUNNER_ID_036,37.371656,14.884685,TK0143,TCU,radio,3,3,36
TCU_SUNNER_ID_037,37.371618,14.883147,TK0144,TCU,radio,3,3,37
TCU_SUNNER_ID_038,37.373249,14.883983,TK0947,TCU,radio,3,3,38
TCU_SUNNER_ID_039,37.373249,14.884101,TK0948,TCU,radio,3,3,39
TCU_SUNNER_ID_040,37.373249,14.884219,TK0949,TCU,radio,3,3,40
TCU_SUNNER_ID_041,37.373249,14.884338,TK0950,TCU,radio,3,3,41
TCU_SUNNER_ID_042,37.373324,14.884694,TK0983,TCU,radio,3,3,42
TCU_SUNNER_ID_043,37.373324,14.884812,TK0984,TCU,radio,3,3,43
TCU_SUNNER_ID_044,37.373324,14.884931,TK0985,TCU,radio,3,3,44
TCU_SUNNER_ID_045,37.372266,14.8828,TK1037,TCU,radio,3,3,45
TCU_SUNNER_ID_046,37.373248,14.883509,TK1248,TCU,radio,3,3,46
TCU_SUNNER_ID_047,37.373248,14.883628,TK1249,TCU,radio,3,3,47
TCU_SUNNER_ID_048,37.373249,14.883864,TK1250,TCU,radio,3,3,48
TCU_SUNNER_ID_049,37.373248,14.883272,TK1251,TCU,radio,3,3,49
TCU_SUNNER_ID_050,37.373585,14.883854,TK1252,TCU,radio,3,3,50
TCU_SUNNER_ID_051,37.372302,14.882919,TK1339,TCU,radio,3,3,51
TCU_SUNNER_ID_052,37.373253,14.883736,TK1378,TCU,radio,3,3,52
TCU_SUNNER_ID_053,37.373906,14.88409,TK1442,TCU,radio,3,3,53
TCU_SUNNER_ID_054,37.373253,14.884091,TK1443,TCU,radio,3,3,54
