node_id,lat,lon,etiqueta,rol,enlace,ncu,gw
TCU_SUNNER_ID_001,41.5158,15.267367,TK001,TCU,radio,1,1
TCU_SUNNER_ID_002,41.515332,15.267092,TK002,TCU,radio,1,1
TCU_SUNNER_ID_003,41.515963,15.267607,TK003,TCU,radio,1,1
TCU_SUNNER_ID_004,41.515614,15.267402,TK004,TCU,radio,1,1
TCU_SUNNER_ID_005,41.515146,15.267127,TK005,TCU,radio,1,1
TCU_SUNNER_ID_006,41.515962,15.267751,TK006,TCU,radio,1,1
TCU_SUNNER_ID_007,41.515613,15.267546,TK007,TCU,radio,1,1
TCU_SUNNER_ID_008,41.515146,15.267271,TK008,TCU,radio,1,1
TCU_SUNNER_ID_009,41.515962,15.267895,TK009,TCU,radio,1,1
TCU_SUNNER_ID_010,41.515613,15.26769,TK010,TCU,radio,1,1
TCU_SUNNER_ID_011,41.515145,15.267415,TK011,TCU,radio,1,1
TCU_SUNNER_ID_012,41.51608,15.268109,TK012,TCU,radio,1,1
TCU_SUNNER_ID_013,41.515613,15.267834,TK013,TCU,radio,1,1
TCU_SUNNER_ID_014,41.515145,15.267559,TK014,TCU,radio,1,1
TCU_SUNNER_ID_015,41.51608,15.268253,TK015,TCU,radio,1,1
TCU_SUNNER_ID_016,41.515612,15.267978,TK016,TCU,radio,1,1
TCU_SUNNER_ID_017,41.515145,15.267703,TK017,TCU,radio,1,1
HSU_01,41.514886,15.266821,HSU 1,HSU,cable,1,1
HSU_02,41.51636,15.268548,HSU 2,HSU,radio,1,1
