origen,destino,rssi_medido_dbm,llega,beta_grados,hora_utc,distancia_m,mesas,clase,et_origen,et_destino,esclavo_origen,esclavo_destino,lat_origen,lon_origen,lat_destino,lon_destino,margen_previsto_planas_db,margen_previsto_canto_db
TCU_SUNNER_ID_003,TCU_SUNNER_ID_004,,,,,12.3,1,filas,TR-07_1-003,TR-07_1-004,3,4,-16.590033,-71.803762,-16.590034,-71.803647,65.6,54.5
TCU_SUNNER_ID_113,TCU_SUNNER_ID_114,,,,,12.4,1,filas,TR-07_1-113,TR-07_1-114,113,114,-16.595071,-71.800066,-16.595073,-71.79995,65.7,55.0
TCU_SUNNER_ID_075,TCU_SUNNER_ID_077,,,,,24.8,3,filas,TR-07_1-075,TR-07_1-077,75,77,-16.593031,-71.800501,-16.593034,-71.800268,63.5,39.9
TCU_SUNNER_ID_027,TCU_SUNNER_ID_030,,,,,37.1,8,filas,TR-07_1-027,TR-07_1-030,27,30,-16.591527,-71.801962,-16.591532,-71.801615,58.5,20.8
NCU 12,TCU_SUNNER_ID_066,,,,,40.7,6,diagonal,NCU 12,TR-07_1-066,,66,,,-16.592852,-71.802643,40.1,-1.3
TCU_SUNNER_ID_116,TCU_SUNNER_ID_117,,,,,41.8,3,filas,TR-07_1-116,TR-07_1-117,116,117,-16.595076,-71.799717,-16.594913,-71.799364,51.0,29.9
TCU_SUNNER_ID_072,TCU_SUNNER_ID_076,,,,,49.6,9,filas,TR-07_1-072,TR-07_1-076,72,76,-16.593026,-71.800849,-16.593032,-71.800385,49.6,17.2
TCU_SUNNER_ID_072,TCU_SUNNER_ID_077,,,,,62.0,11,filas,TR-07_1-072,TR-07_1-077,72,77,-16.593026,-71.800849,-16.593034,-71.800268,40.1,17.4
TCU_SUNNER_ID_103,TCU_SUNNER_ID_109,,,,,74.4,16,filas,TR-07_1-103,TR-07_1-109,103,109,-16.594199,-71.803359,-16.594209,-71.802662,24.6,21.5
TCU_SUNNER_ID_029,TCU_SUNNER_ID_044,,,,,75.1,0,eje,TR-07_1-029,TR-07_1-044,29,44,-16.59153,-71.80173,-16.592208,-71.80174,47.8,47.8
TCU_SUNNER_ID_096,TCU_SUNNER_ID_111,,,,,75.1,0,eje,TR-07_1-096,TR-07_1-111,96,111,-16.593716,-71.79993,-16.594395,-71.79994,47.8,47.8
TCU_SUNNER_ID_017,TCU_SUNNER_ID_028,,,,,75.1,0,eje,TR-07_1-017,TR-07_1-028,17,28,-16.590851,-71.801836,-16.591529,-71.801846,47.8,47.8
TCU_SUNNER_ID_084,TCU_SUNNER_ID_102,,,,,75.2,0,eje,TR-07_1-084,TR-07_1-102,84,102,-16.593519,-71.803465,-16.594198,-71.803475,47.7,47.7
TCU_SUNNER_ID_036,TCU_SUNNER_ID_054,,,,,76.1,1,diagonal,TR-07_1-036,TR-07_1-054,36,54,-16.592157,-71.80391,-16.592833,-71.804036,42.9,35.4
TCU_SUNNER_ID_007,TCU_SUNNER_ID_017,,,,,79.1,5,diagonal,TR-07_1-007,TR-07_1-017,7,17,-16.590169,-71.802059,-16.590851,-71.801836,34.5,10.4
TCU_SUNNER_ID_018,TCU_SUNNER_ID_026,,,,,83.8,8,diagonal,TR-07_1-018,TR-07_1-026,18,26,-16.590852,-71.80172,-16.591526,-71.802078,27.8,-9.8
TCU_SUNNER_ID_030,TCU_SUNNER_ID_049,,,,,90.0,13,diagonal,TR-07_1-030,TR-07_1-049,30,49,-16.591532,-71.801615,-16.592216,-71.80116,26.0,9.8
TCU_SUNNER_ID_026,TCU_SUNNER_ID_034,,,,,99.1,25,filas,TR-07_1-026,TR-07_1-034,26,34,-16.591526,-71.802078,-16.591538,-71.801151,21.0,4.5
TCU_SUNNER_ID_057,TCU_SUNNER_ID_065,,,,,99.2,21,filas,TR-07_1-057,TR-07_1-065,57,65,-16.592838,-71.803688,-16.59285,-71.802759,16.4,-0.7
TCU_SUNNER_ID_044,TCU_SUNNER_ID_068,,,,,100.7,11,diagonal,TR-07_1-044,TR-07_1-068,44,68,-16.592208,-71.80174,-16.59302,-71.801313,23.4,13.7
TCU_SUNNER_ID_100,TCU_SUNNER_ID_109,,,,,111.6,24,filas,TR-07_1-100,TR-07_1-109,100,109,-16.594195,-71.803707,-16.594209,-71.802662,16.6,10.1
TCU_SUNNER_ID_043,TCU_SUNNER_ID_054,,,,,124.4,22,diagonal,TR-07_1-043,TR-07_1-054,43,54,-16.592167,-71.803097,-16.592833,-71.804036,16.7,-12.8
TCU_SUNNER_ID_097,TCU_SUNNER_ID_108,,,,,136.4,32,filas,TR-07_1-097,TR-07_1-108,97,108,-16.59419,-71.804056,-16.594207,-71.802779,10.8,12.1
TCU_SUNNER_ID_018,TCU_SUNNER_ID_044,,,,,150.2,0,eje,TR-07_1-018,TR-07_1-044,18,44,-16.590852,-71.80172,-16.592208,-71.80174,36.3,36.3
TCU_SUNNER_ID_039,TCU_SUNNER_ID_083,,,,,150.2,0,eje,TR-07_1-039,TR-07_1-083,39,83,-16.592161,-71.803562,-16.593517,-71.803581,36.3,36.3
TCU_SUNNER_ID_004,TCU_SUNNER_ID_023,,,,,150.2,0,eje,TR-07_1-004,TR-07_1-023,4,23,-16.590034,-71.803647,-16.59139,-71.803667,36.3,36.3
TCU_SUNNER_ID_057,TCU_SUNNER_ID_100,,,,,150.3,0,eje,TR-07_1-057,TR-07_1-100,57,100,-16.592838,-71.803688,-16.594195,-71.803707,36.2,36.2
TCU_SUNNER_ID_017,TCU_SUNNER_ID_045,,,,,152.2,5,diagonal,TR-07_1-017,TR-07_1-045,17,45,-16.590851,-71.801836,-16.59221,-71.801625,12.9,5.7
TCU_SUNNER_ID_012,TCU_SUNNER_ID_038,,,,,160.3,0,eje,TR-07_1-012,TR-07_1-038,12,38,-16.590712,-71.803657,-16.59216,-71.803678,35.2,35.2
TCU_SUNNER_ID_021,TCU_SUNNER_ID_055,,,,,160.3,0,eje,TR-07_1-021,TR-07_1-055,21,55,-16.591387,-71.803898,-16.592835,-71.80392,35.2,35.2
TCU_SUNNER_ID_044,TCU_SUNNER_ID_075,,,,,160.6,33,diagonal,TR-07_1-044,TR-07_1-075,44,75,-16.592208,-71.80174,-16.593031,-71.800501,7.2,-15.2
TCU_SUNNER_ID_065,TCU_SUNNER_ID_069,,,,,167.8,41,filas,TR-07_1-065,TR-07_1-069,65,69,-16.59285,-71.802759,-16.593021,-71.801197,-7.6,-43.3
